# Ticks,TimeStamp,ValidTipForce,TipForce_mN_0,TipForce_mN_1,TipForce_mN_2,TipForce_mN_3,ScleraForce_mN_0,ScleraForce_mN_1,TipForceNorm_mN,ScleraForceNorm_mN,TipForceDirection0,TipForceDirection1,FBGRaw0,FBGRaw1,FBGRaw2,FBGRaw3,HandleForcesN0,HandleForcesN1,HandleForcesN2,HandleForcesN3,HandleForcesN4,HandleForcesN5,FT_SensorRaw0,FT_SensorRaw1,FT_SensorRaw2,FT_SensorRaw3,FT_SensorRaw4,FT_SensorRaw5,RobotPosition0,RobotPosition1,RobotPosition2,RobotPosition3,RobotPosition4,RobotPosition5,RobotVelocity0,RobotVelocity1,RobotVelocity2,RobotVelocity3,RobotVelocity4,RobotVelocity5,Pedal0,Pedal1,NNPRedictedFsX,NNPRedictedFsY,NNPRedictedFsNorm,Depth_p,x_new_p_0,x_new_p_1,x_new_p_2,P_new_p,PX_new_p_0,PX_new_p_1,PX_new_p_2,PX_new_p_3,PX_new_p_4,PX_new_p_5,PX_new_p_6,PX_new_p_7,PX_new_p_8,desiredControlParams_0,desiredControlParams_1,desiredControlParams_2
703407,1691512351.176997,0,-0.0000662,-0.0000659,-0.0000033,0.0000000,0.0000000,0.0000000,0.0000934,0.0000000,173.2323582,-76.4592264,1550.0959095,1550.1901433,1550.2091095,0.0000000,-0.0352897,-0.0247482,-0.1782648,-0.0043206,0.0011232,-0.0014831,-0.2631103,-0.0049491,-0.1395368,-0.0041248,0.0025294,0.0066676,7.3842,-75.8210,1.4282,-0.1372,-0.4464,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
703408,1691512351.182279,0,-0.0000662,-0.0000659,-0.0000033,0.0000000,0.0000000,0.0000000,0.0000934,0.0000000,173.2323582,-76.4592264,1550.0959095,1550.1901433,1550.2091095,0.0000000,-0.0187824,-0.0174007,-0.1746545,-0.0042197,0.0009398,-0.0020920,0.0312687,0.0618862,-0.1716658,-0.0060009,0.0001841,-0.0045376,7.3842,-75.8210,1.4282,-0.1372,-0.4464,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
703409,1691512351.187334,0,-0.0000662,-0.0000659,-0.0000033,0.0000000,0.0000000,0.0000000,0.0000934,0.0000000,173.2323582,-76.4592264,1550.0959095,1550.1901433,1550.2091095,0.0000000,-0.0245275,0.0036220,-0.1502494,-0.0031502,0.0011063,-0.0018566,-0.0467486,0.1520082,0.0807047,0.0043705,0.0026348,-0.0018465,7.3842,-75.8210,1.4282,-0.1372,-0.4464,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
703410,1691512351.192451,0,0.0000276,-0.0000480,-0.0000020,-0.0000000,0.0000000,0.0000000,0.0000554,0.0000000,-17.8123344,127.0938701,1550.0951279,1550.1913167,1550.2085228,0.0000000,-0.0129809,0.0194787,-0.1460057,-0.0028775,0.0009209,-0.0021460,0.0172987,0.1557882,-0.1145570,-0.0026119,0.0000160,-0.0035714,7.3842,-75.8210,1.4282,-0.1372,-0.4464,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
703411,1691512351.197980,0,0.0001946,-0.0000752,-0.0000007,0.0000000,0.0000000,0.0000000,0.0002086,0.0000000,-17.8337728,126.2353238,1550.0955177,1550.1909249,1550.2077392,0.0000000,-0.0177953,-0.0011499,-0.1191341,-0.0021562,0.0008781,-0.0021339,-0.0129299,-0.1681256,0.0757233,0.0020626,0.0009966,-0.0031455,7.3842,-75.8210,1.4282,-0.1372,-0.4464,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
703412,1691512351.203206,0,-0.0006705,0.0000455,-0.0000070,0.0000000,0.0000000,0.0000000,0.0006721,0.0000000,162.6983675,-55.4251064,1550.0939546,1550.1901433,1550.2108678,0.0000000,0.0072890,0.0086095,-0.1369643,-0.0026880,0.0006161,-0.0029937,0.0596296,0.1261877,-0.3146507,-0.0101125,-0.0005686,-0.0057750,7.3842,-75.8210,1.4282,-0.1372,-0.4464,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
703413,1691512351.208700,0,-0.0002107,-0.0000118,-0.0000034,0.0000000,0.0000000,0.0000000,0.0002111,0.0000000,163.1305120,-56.9076093,1550.0945413,1550.1903382,1550.2089127,0.0000000,-0.0170423,0.0174221,-0.1140416,-0.0018614,0.0006710,-0.0021482,-0.1551704,0.0638731,0.1489779,0.0057404,0.0008112,0.0020458,7.3842,-75.8210,1.4282,-0.1372,-0.4464,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
703414,1691512351.214451,0,0.0002183,-0.0001200,-0.0000017,0.0000000,0.0000000,0.0000000,0.0002491,0.0000000,-19.0213316,127.7503742,1550.0968859,1550.1901433,1550.2083260,0.0000000,-0.0117393,0.0276225,-0.1235587,-0.0019577,0.0004385,-0.0021611,-0.0588690,0.1290370,-0.1720702,-0.0033936,-0.0011763,-0.0010502,7.3842,-75.8210,1.4282,-0.1372,-0.4464,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
703415,1691512351.219681,0,0.0002183,-0.0001200,-0.0000017,0.0000000,0.0000000,0.0000000,0.0002491,0.0000000,-19.0213316,127.7503742,1550.0968859,1550.1901433,1550.2083260,0.0000000,0.0048361,0.0429991,-0.1469490,-0.0028161,0.0003947,-0.0025835,-0.0226178,0.2045410,-0.3220299,-0.0108449,0.0002280,-0.0011721,7.3842,-75.8210,1.4282,-0.1372,-0.4464,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
703416,1691512351.225361,0,0.0001294,-0.0000551,-0.0000012,-0.0000000,0.0000000,0.0000000,0.0001407,0.0000000,-17.3696818,125.8756830,1550.0951279,1550.1920984,1550.2083260,0.0000000,0.0001375,0.0466453,-0.1411265,-0.0026064,0.0003861,-0.0024649,-0.0737671,0.0832888,-0.0618240,-0.0016090,0.0004518,-0.0009209,7.3842,-75.8210,1.4282,-0.1372,-0.4464,0.0000,-0.0000,-0.0000,0.0000,-0.0000,0.0000,-0.0000,12.82,0.00,0.0000,0.0000,0.0000,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
